"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"B1";"";"31-XX";"B3F-31XX";"OMRON SWITCH";"";"";"";"";
"B2";"";"31-XX";"B3F-31XX";"OMRON SWITCH";"";"";"";"";
"B3";"";"31-XX";"B3F-31XX";"OMRON SWITCH";"";"";"";"";
"BAT1";"LIR2032";"BATTERYBATTCOM_20MM_PTH_SMT";"BATTCOM_20MM_PTH_SMT";"Battery Holders";"";"";"";"";
"C1";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C2";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C3";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C4";"";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"C5";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C6";"18pF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"C7";"18pF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"C9";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C14";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"CHARGE";"0805";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";
"EEPRM";"24AA128SN";"24AA128SN";"SO-08";"Serial EEPROM";"MICROCHIP";"24AA128-I/SN";"unknown";"92C6842";
"IC2";"MCP73831";"MCP73831";"SOT23-5";"Microchip's MCP73831";"";"";"";"";
"IC3";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"";"";"";"";"";
"IC4";"MCP1700-33";"MCP1700SOT233";"SOT23";"VOLTAGE REGULATOR";"";"";"";"";
"IR1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";
"IR2";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";
"IR3";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";
"IR4";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";
"IR5";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";
"IRA";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";"";"";
"IRG";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";"";"";
"IRL";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";"";"";
"IRP";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";"";"";
"IRR1";"1.5K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"IRR2";"1.5K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"IRR3";"1.5K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"IRR4";"1.5K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"IRR5";"1.5K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"ISP";"";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";
"J2";"EG1206";"EG1206";"EG1206";"";"";"";"";"";
"JP2";"M05X2NO_SILK";"M05X2NO_SILK";"2X5_NOSILK";"Header 5x2";"";"";"";"";
"JST";"";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"JST 2-Pin Connectors of various flavors";"";"";"";"";
"LUXNIR";"TSL2561";"TSL2561";"TSL2561_FN@1";"TSL2561 Light-To-Digital Sensor";"";"";"";"";
"LUXNIR1";"TSL2561";"TSL2561";"TSL2561_FN@1";"TSL2561 Light-To-Digital Sensor";"";"";"";"";
"LUXRGB1";"TCS34725";"TCS34725";"DFN-6";"";"";"";"";"";
"LUXRGB2";"TCS34725";"TCS34725";"DFN-6";"";"";"";"";"";
"MICROSD";"USD-SOCKETMICRO-SD-SOCKET-TAOBAO";"USD-SOCKETMICRO-SD-SOCKET-TAOBAO";"MICRO-SD-SOCKET-TAOBAO";"microSD Socket";"";"";"";"";
"NKA";"";"M08LOCK";"1X08_LOCK";"Header 8";"";"";"";"";
"NKA1";"";"M08LOCK";"1X08_LOCK";"Header 8";"";"";"";"";
"Q1";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";
"Q4";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";
"RC";"22K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RD+1";"47";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RD-1";"47";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RE1";"1.5K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RIR3";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RIR4";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RSD";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RST";"";"EVQQ2";"EVQ-Q2";"SMT 6mm switch, EVQQ2 series";"";"";"";"";
"RTHM";"3k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";
"RU1";"1.5K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"T1";"FDN340P";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"";
"T2";"FDN340P";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"";
"THM1";"1X2-3.5MM";"1X2-3.5MM";"1X2-3.5MM";"3.5mm Terminal block";"";"";"";"";
"U$1";"BUZZER";"BUZZER";"SMT-8585-BUZZER";"";"";"";"";"";
"WS1";"WS2813";"WS2813";"RGBLED5050_4";"";"";"";"";"";
"WS2";"WS2813";"WS2813";"RGBLED5050_4";"";"";"";"";"";
"WS3";"WS2813";"WS2813";"RGBLED5050_4";"";"";"";"";"";
"WS4";"WS2813";"WS2813";"RGBLED5050_4";"";"";"";"";"";
"WS5";"WS2813";"WS2813";"RGBLED5050_4";"";"";"";"";"";
"WS6";"WS2813";"WS2813";"RGBLED5050_4";"";"";"";"";"";
"WS7";"WS2813";"WS2813";"RGBLED5050_4";"";"";"";"";"";
"WS8";"WS2813";"WS2813";"RGBLED5050_4";"";"";"";"";"";
"WS9";"WS2813";"WS2813";"RGBLED5050_4";"";"";"";"";"";
"WS10";"WS2813";"WS2813";"RGBLED5050_4";"";"";"";"";"";
"X2";"USBSMD";"USBSMD";"USB-MINIB";"USB Connectors";"";"";"";"";
"X3";"8MHz";"XTALNX5032";"NX5032";"";"";"";"";"";
